date,1. open,2. high,3. low,4. close,5. volume
2026-04-27,34.37,34.62,33.825,34.0,1352120.0
2026-04-24,34.6,34.645,34.24,34.37,1470991.0
2026-04-23,34.35,34.81,34.05,34.4,1477303.0
2026-04-22,34.74,35.17,34.64,34.9,1726529.0
2026-04-21,33.63,33.89,33.105,33.18,1461919.0
2026-04-20,33.3,33.855,33.06,33.78,1691983.0
2026-04-17,33.905,34.7,33.74,34.3,4440062.0
2026-04-16,33.19,33.385,32.4,33.36,3070013.0
2026-04-15,32.93,33.32,32.57,33.21,1955916.0
2026-04-14,32.99,33.68,32.69,32.87,3213334.0
2026-04-13,31.5,32.52,31.3399,32.45,2143643.0
2026-04-10,32.01,32.45,31.82,32.44,2092206.0
2026-04-09,31.47,32.115,31.195,31.92,2924528.0
2026-04-08,32.06,32.12,31.27,31.55,2311942.0
2026-04-07,30.29,30.55,29.96,30.52,2480177.0
2026-04-06,30.74,31.13,30.605,30.85,3056264.0
2026-04-02,29.26,29.84,29.07,29.65,2500708.0
2026-04-01,30.31,30.6,30.04,30.16,3031028.0
2026-03-31,29.53,30.315,29.37,29.99,5562927.0
2026-03-30,30.01,30.08,29.275,29.42,3021336.0
2026-03-27,29.5,29.51,28.98,29.19,4223711.0
2026-03-26,30.69,30.89,30.13,30.31,3552261.0
2026-03-25,31.67,31.84,31.205,31.34,2783304.0
2026-03-24,31.24,31.31,30.47,30.66,2878530.0
2026-03-23,31.33,31.775,31.0,31.27,3893055.0
2026-03-20,31.21,31.21,30.69,31.05,2984627.0
2026-03-19,30.68,31.23,30.43,31.08,3312055.0
2026-03-18,32.08,32.1,31.35,31.44,3503218.0
2026-03-17,32.6,33.16,32.48,32.99,2436042.0
2026-03-16,32.71,32.995,32.3,32.74,3954616.0
2026-03-13,32.33,32.74,31.36,31.5,4996034.0
2026-03-12,31.02,31.27,30.69,31.18,3569459.0
2026-03-11,31.07,31.58,30.85,31.26,3880042.0
2026-03-10,31.36,31.785,30.66,30.99,4956113.0
2026-03-09,30.42,30.775,30.2,30.57,4274413.0
2026-03-06,30.53,30.58,29.96,30.12,4041971.0
2026-03-05,32.105,32.24,31.24,31.52,6243744.0
2026-03-04,31.76,32.79,31.555,32.35,10119430.0
2026-03-03,29.685,30.53,29.27,30.19,6528472.0
2026-03-02,29.01,31.04,29.01,30.6,9224138.0
2026-02-27,29.26,29.36,28.81,29.02,6079743.0
2026-02-26,30.16,30.21,29.44,29.83,8582086.0
2026-02-25,29.47,30.795,29.29,30.62,13388573.0
2026-02-24,27.88,28.65,27.79,28.53,4419908.0
2026-02-23,29.26,29.31,28.26,28.51,5668081.0
2026-02-20,29.65,30.12,29.44,29.97,6935547.0
2026-02-19,29.19,29.73,29.03,29.69,4945012.0
2026-02-18,29.67,30.24,29.12,29.3,3980062.0
2026-02-17,30.1,30.1965,29.455,29.97,2849540.0
2026-02-13,29.77,30.73,29.565,30.43,3677315.0
2026-02-12,30.07,30.21,28.795,28.91,4516029.0
2026-02-11,30.09,30.19,29.07,29.88,3706050.0
2026-02-10,30.61,30.965,30.04,30.43,4479802.0
2026-02-09,30.52,31.48,30.29,31.32,3971276.0
2026-02-06,29.7,31.655,29.69,30.99,8047412.0
2026-02-05,30.96,31.305,27.545,28.15,17048223.0
2026-02-04,33.27,33.47,31.86,32.46,7567069.0
2026-02-03,34.68,34.685,32.245,33.79,9276643.0
2026-02-02,34.52,35.11,34.33,34.49,8439545.0
2026-01-30,36.65,37.42,36.19,37.08,6301766.0
2026-01-29,38.8,38.8497,36.79,37.17,5348965.0
2026-01-28,39.79,40.03,39.295,39.4,1806942.0
2026-01-27,39.03,39.56,38.58,39.52,3741026.0
2026-01-26,38.75,39.285,38.49,38.75,1944281.0
2026-01-23,39.64,40.34,39.15,39.58,2972776.0
2026-01-22,39.57,39.78,39.12,39.55,1818007.0
2026-01-21,39.62,40.05,38.57,39.87,6030700.0
2026-01-20,40.19,40.4,39.45,39.62,4100304.0
2026-01-16,42.33,42.4,41.7,42.28,2604269.0
2026-01-15,42.84,42.95,42.09,42.15,3407068.0
2026-01-14,42.33,43.36,42.2,43.25,3762590.0
2026-01-13,40.88,41.86,40.745,41.82,3586027.0
2026-01-12,39.91,40.86,39.87,40.48,3181236.0
2026-01-09,40.05,40.7,39.71,39.94,2048650.0
2026-01-08,39.6,40.45,39.455,40.21,1656448.0
2026-01-07,40.47,40.755,40.08,40.23,1864495.0
2026-01-06,41.77,41.77,40.36,40.9,3009533.0
2026-01-05,41.06,41.985,40.88,41.71,3154389.0
2026-01-02,39.32,40.28,39.146,39.74,3918081.0
2025-12-31,39.345,39.345,38.54,38.73,3089680.0
2025-12-30,38.97,39.57,38.85,38.87,2774800.0
2025-12-29,38.72,38.99,38.485,38.55,1504664.0
2025-12-26,39.37,39.39,38.31,38.74,2432466.0
2025-12-24,38.56,38.77,38.22,38.61,1329498.0
2025-12-23,38.76,39.07,38.29,38.79,2494685.0
2025-12-22,39.795,40.01,38.88,39.08,2811026.0
2025-12-19,38.94,39.55,38.41,38.97,2405082.0
2025-12-18,39.18,39.53,37.35,37.45,3601637.0
2025-12-17,38.83,39.98,37.74,37.98,5353511.0
2025-12-16,38.46,38.995,38.415,38.77,4889062.0
2025-12-15,39.58,39.79,37.67,37.97,3637185.0
2025-12-12,40.79,41.04,39.605,39.95,2756441.0
2025-12-11,39.93,40.65,39.52,40.65,3868943.0
2025-12-10,40.73,41.85,40.54,40.96,2664814.0
2025-12-09,39.99,41.9,39.85,41.23,3014157.0
2025-12-08,40.44,40.625,39.66,40.2,1973928.0
2025-12-05,40.06,40.51,39.03,39.55,2078839.0
2025-12-04,41.09,41.29,40.24,40.97,1243278.0
2025-12-03,41.0,41.475,40.64,41.15,1617191.0
2025-12-02,39.26,40.875,39.14,40.31,2609686.0
