date,1. open,2. high,3. low,4. close,5. volume
2026-04-28,346.92,349.9,344.28,347.5,17049704.0
2026-04-27,343.88,350.9,340.81,348.52,17443019.0
2026-04-24,337.72,343.69,334.05,342.32,18260862.0
2026-04-23,339.575,340.16,335.06,337.75,13442135.0
2026-04-22,334.885,338.03,332.96,337.73,12954245.0
2026-04-21,335.585,337.17,329.63,330.47,14623836.0
2026-04-20,338.56,339.16,334.63,335.4,12897265.0
2026-04-17,334.43,339.985,333.29,339.4,19683848.0
2026-04-16,335.85,337.38,331.6501,332.77,13949592.0
2026-04-15,330.56,335.0,328.66,334.47,15104096.0
2026-04-14,322.065,330.64,321.15,330.58,18557479.0
2026-04-13,315.42,319.43,313.6901,319.21,12212807.0
2026-04-10,318.225,319.5,314.54,315.72,11997647.0
2026-04-09,313.19,317.43,309.47,316.37,14606751.0
2026-04-08,317.83,319.39,312.705,314.74,20887530.0
2026-04-07,300.14,304.1,295.425,303.93,17317708.0
2026-04-06,294.7,298.425,293.79,297.66,10121741.0
2026-04-02,288.99,295.9,287.57,294.46,13433366.0
2026-04-01,289.98,297.985,289.47,294.9,24403551.0
2026-03-31,277.54,287.05,276.76,286.86,31625057.0
2026-03-30,275.44,276.26,271.535,273.14,22752315.0
2026-03-27,277.4,279.09,273.48,273.76,25703300.0
2026-03-26,286.19,286.515,279.05,280.74,29281207.0
2026-03-25,292.15,294.66,287.37,289.59,22343018.0
2026-03-24,296.21,297.1,288.855,289.2,27411194.0
2026-03-23,300.53,303.37,298.03,299.02,22204112.0
2026-03-20,304.07,304.37,296.75,298.79,34763531.0
2026-03-19,303.21,306.68,301.0,305.73,15399724.0
2026-03-18,307.905,310.75,305.545,306.3,13848428.0
2026-03-17,304.67,310.05,304.35,309.41,14423553.0
2026-03-16,303.6,305.57,301.81,304.42,14822047.0
2026-03-13,306.655,307.26,299.7801,301.46,16857533.0
2026-03-12,306.21,308.64,300.84,303.21,15610193.0
2026-03-11,306.3,311.069,305.84,308.42,13376677.0
2026-03-10,305.875,309.15,305.31,306.93,14386421.0
2026-03-09,294.135,306.5,293.93,306.01,19632738.0
2026-03-06,296.072,300.33,295.25,298.3,17598003.0
2026-03-05,303.2,303.37,298.07,300.91,22643883.0
2026-03-04,302.685,305.46,300.8,303.45,20015599.0
2026-03-03,298.42,303.94,296.6994,303.56,20361131.0
2026-03-02,302.965,308.14,301.06,306.36,21854368.0
2026-02-27,303.94,312.08,303.5905,311.43,33389206.0
2026-02-26,312.805,313.0,302.41,307.15,22379980.0
2026-02-25,312.12,313.66,309.36,313.03,20209083.0
2026-02-24,310.64,312.37,306.09,310.92,15040656.0
2026-02-23,319.14,319.455,309.99,311.69,17641176.0
2026-02-20,304.8,316.76,304.42,314.9,33663143.0
2026-02-19,302.52,306.03,300.67,303.56,13448627.0
2026-02-18,302.432,305.91,301.98,303.94,15847701.0
2026-02-17,300.64,304.89,296.9,302.82,23750758.0
2026-02-13,307.985,308.89,303.9,306.02,20235950.0
2026-02-12,312.35,316.48,308.15,309.37,28193962.0
2026-02-11,318.96,321.045,310.13,311.33,24008065.0
2026-02-10,320.91,321.63,314.66,318.63,25281932.0
2026-02-09,321.24,327.74,317.7,324.4,26103255.0
2026-02-06,327.35,330.64,320.15,323.1,33877014.0
2026-02-05,313.2,332.644,306.92,331.33,51842004.0
2026-02-04,343.755,344.25,329.37,333.34,36991086.0
2026-02-03,348.515,350.15,338.59,340.7,25509219.0
2026-02-02,336.55,345.165,336.01,344.9,22775218.0
2026-01-30,334.46,340.29,332.64,338.53,21740202.0
2026-01-29,340.35,342.29,326.72,338.66,24548303.0
2026-01-28,336.61,337.63,332.13,336.28,17538476.0
2026-01-27,335.63,338.215,333.75,335.0,15669092.0
2026-01-26,328.2,336.3499,327.49,333.59,18502451.0
2026-01-23,332.655,334.03,327.97,328.43,19110585.0
2026-01-22,334.265,335.21,328.88,330.84,19902110.0
2026-01-21,321.095,332.725,319.5401,328.38,22791650.0
2026-01-20,321.24,328.09,320.89,322.16,26948049.0
2026-01-16,334.935,335.2399,328.17,330.34,21868624.0
2026-01-15,338.055,338.13,331.29,333.16,16424864.0
2026-01-14,334.985,337.03,331.14,336.31,17839332.0
2026-01-13,335.28,341.2,334.35,336.43,24616700.0
2026-01-12,326.5,334.44,325.51,332.73,23893764.0
2026-01-09,327.49,331.48,326.25,329.14,17917732.0
2026-01-08,329.265,330.54,321.99,326.01,21789614.0
2026-01-07,314.57,326.465,314.5,322.43,24681825.0
2026-01-06,317.31,321.56,312.34,314.55,18989910.0
2026-01-05,317.695,319.25,315.249,317.32,19934019.0
2026-01-02,317.59,322.9138,310.65,315.32,22043703.0
2025-12-31,313.37,315.39,312.2,313.8,10821502.0
2025-12-30,313.41,317.7,313.25,314.55,11052495.0
2025-12-29,312.82,314.97,311.9,314.39,12317693.0
2025-12-26,315.92,316.5599,313.72,314.96,6730944.0
2025-12-24,316.15,316.29,313.32,315.67,6138155.0
2025-12-23,311.135,316.3,310.75,315.68,13961424.0
2025-12-22,311.225,311.7,306.59,311.33,14091373.0
2025-12-19,303.27,308.99,302.34,308.61,45234430.0
2025-12-18,303.06,305.26,300.63,303.75,21040496.0
2025-12-17,309.01,309.195,297.45,298.06,29120355.0
2025-12-16,306.0,311.845,303.83,307.73,21285166.0
2025-12-15,312.625,312.7,305.74,309.32,22028947.0
2025-12-12,314.795,316.14,306.96,310.52,21264787.0
2025-12-11,321.1,321.99,309.88,313.7,25912059.0
2025-12-10,316.62,321.87,315.4,321.0,22764499.0
2025-12-09,313.1,318.7089,312.62,317.75,14098016.0
2025-12-08,321.03,321.23,311.91,314.45,21707040.0
2025-12-05,320.0,323.83,319.98,322.09,15719851.0
2025-12-04,323.045,323.099,315.59,318.39,20831597.0
2025-12-03,316.03,322.04,314.28,320.62,32285099.0
