date,1. open,2. high,3. low,4. close,5. volume
2026-04-27,500.76,509.045,500.76,506.43,2527796.0
2026-04-24,499.0,505.605,495.63,504.17,2406989.0
2026-04-23,507.37,509.65,498.37,502.38,2724324.0
2026-04-22,512.07,513.79,505.72,510.16,2288823.0
2026-04-21,516.93,523.11,510.165,511.35,3445129.0
2026-04-20,520.76,524.48,514.54,516.65,2503858.0
2026-04-17,521.5,527.465,518.74,521.3,3617601.0
2026-04-16,518.03,522.23,517.01,518.54,2967696.0
2026-04-15,516.0,522.435,513.2,519.96,2911234.0
2026-04-14,508.0,513.98,506.69,513.16,2745002.0
2026-04-13,496.23,508.87,495.0,508.58,3318068.0
2026-04-10,502.01,504.385,495.67,498.66,2842593.0
2026-04-09,504.46,506.67,497.76,503.57,3301927.0
2026-04-08,508.0,511.82,505.855,507.12,3874920.0
2026-04-07,498.285,502.6025,495.67,498.28,3593150.0
2026-04-06,493.75,501.905,491.1763,501.5,2466299.0
2026-04-02,488.13,499.8799,487.75,493.44,2926020.0
2026-04-01,502.23,503.0,485.65,491.65,4607139.0
2026-03-31,500.0,501.41,490.58,499.66,4417888.0
2026-03-30,488.03,495.54,487.0,494.0,3629528.0
2026-03-27,499.45,500.05,480.5,484.24,3963656.0
2026-03-26,500.51,504.8,499.0501,500.75,3995500.0
2026-03-25,501.29,506.253,494.56,502.76,2422194.0
2026-03-24,495.64,502.7299,493.235,498.93,2278879.0
2026-03-23,506.05,507.035,500.38,500.38,2986060.0
2026-03-20,492.47,499.215,491.005,496.32,5762949.0
2026-03-19,490.52,497.08,487.31,491.14,3284588.0
2026-03-18,503.75,503.75,487.92,488.47,3458707.0
2026-03-17,510.55,516.96,506.5,506.58,2834283.0
2026-03-16,498.62,508.58,498.62,508.5,3450564.0
2026-03-13,496.56,501.86,495.4,497.99,2809315.0
2026-03-12,500.0,505.615,496.29,497.31,2702469.0
2026-03-11,513.08,515.31,502.72,504.0,2874472.0
2026-03-10,516.95,519.33,511.0,514.72,2759997.0
2026-03-09,516.27,520.89,509.11,517.72,3546721.0
2026-03-06,519.64,522.55,512.2,522.34,2873196.0
2026-03-05,521.1,525.32,512.75,524.66,3883390.0
2026-03-04,524.16,526.1599,520.28,522.92,3154939.0
