date,1. open,2. high,3. low,4. close,5. volume
2026-04-27,26.33,26.44,25.455,25.52,31972972.0
2026-04-24,26.425,26.58,26.03,26.2,30600865.0
2026-04-23,26.12,26.755,26.02,26.61,47337931.0
2026-04-22,25.15,26.05,24.96,25.98,59711921.0
2026-04-21,26.2,26.44,25.88,25.88,44489369.0
2026-04-20,26.515,26.675,26.17,26.18,30509448.0
2026-04-17,26.145,26.61,26.04,26.51,35023815.0
2026-04-16,25.515,26.425,25.46,26.4,34901890.0
2026-04-15,25.675,25.775,25.42,25.46,33847639.0
2026-04-14,25.2,25.705,24.94,25.62,42173911.0
2026-04-13,26.37,26.39,25.4,25.61,46751754.0
2026-04-10,26.515,26.7,26.285,26.46,31990438.0
2026-04-09,27.23,27.41,26.76,26.84,41439826.0
2026-04-08,27.23,27.5,26.9101,27.35,47841586.0
2026-04-07,28.29,28.485,27.92,28.04,27652971.0
2026-04-06,28.265,28.52,28.15,28.32,29396199.0
2026-04-02,28.39,28.63,27.99,28.33,34996175.0
2026-04-01,28.95,28.97,28.06,28.31,43112549.0
2026-03-31,28.93,28.99,28.53,28.99,48632309.0
2026-03-30,29.21,29.365,28.72,28.78,35293852.0
2026-03-27,29.0,29.365,28.82,29.1,38162808.0
2026-03-26,29.07,29.21,28.82,28.92,29904528.0
2026-03-25,28.98,29.135,28.705,28.81,36571089.0
2026-03-24,28.8,29.435,28.66,28.87,41047227.0
2026-03-23,28.275,28.91,27.87,28.76,46656343.0
2026-03-20,27.835,28.63,27.835,28.31,128734186.0
2026-03-19,27.58,27.95,27.22,27.74,58624180.0
2026-03-18,27.71,27.79,27.39,27.41,34898669.0
2026-03-17,27.89,28.02,27.655,27.85,33904287.0
2026-03-16,27.73,27.815,27.47,27.73,31792788.0
2026-03-13,27.5,27.845,27.44,27.72,28076849.0
2026-03-12,27.05,27.39,26.73,27.39,32636117.0
2026-03-11,27.665,27.73,26.87,27.16,46925570.0
2026-03-10,27.65,27.94,27.45,27.71,37596472.0
2026-03-09,28.13,28.36,27.39,27.53,52144962.0
2026-03-06,28.93,28.95,28.325,28.64,37909872.0
2026-03-05,28.935,29.06,28.715,28.97,46498081.0
2026-03-04,28.47,29.07,28.22,28.98,42409310.0
2026-03-03,27.79,28.75,27.76,28.67,45891174.0
2026-03-02,27.91,28.25,27.87,28.01,39270908.0
2026-02-27,27.61,28.01,27.51,28.01,54509331.0
2026-02-26,27.98,28.05,27.41,27.46,33856844.0
2026-02-25,28.03,28.29,27.7,27.87,45550692.0
2026-02-24,28.52,28.8,28.19,28.35,34541663.0
2026-02-23,28.04,28.83,28.03,28.52,41169261.0
2026-02-20,27.95,28.06,27.54,27.98,25383646.0
2026-02-19,28.015,28.395,27.73,27.88,31221881.0
2026-02-18,28.63,28.715,27.82,27.88,33179276.0
2026-02-17,28.755,29.06,28.63,28.68,29868901.0
2026-02-13,28.68,28.84,28.41,28.69,42687511.0
2026-02-12,28.48,29.3,28.46,28.8,70553059.0
2026-02-11,27.275,28.6,27.135,28.47,64213329.0
2026-02-10,27.075,27.59,27.075,27.41,34925947.0
2026-02-09,27.095,27.195,26.825,27.11,33057762.0
2026-02-06,27.26,27.38,26.93,27.13,37410384.0
2026-02-05,27.4,27.52,26.96,27.31,44672420.0
2026-02-04,27.09,27.495,26.89,27.22,52448303.0
2026-02-03,26.11,26.985,26.11,26.83,60383541.0
2026-02-02,26.29,26.635,26.19,26.3,66563970.0
2026-01-30,25.5,26.29,25.145,26.21,78227455.0
2026-01-29,24.45,25.13,24.43,25.13,73255254.0
2026-01-28,23.42,24.33,23.36,24.07,84121869.0
2026-01-27,23.5,23.5,22.95,23.0,72010534.0
2026-01-26,23.7,23.8,23.36,23.45,44376020.0
2026-01-23,23.5,23.645,23.3,23.59,36056769.0
2026-01-22,23.57,23.83,23.5,23.58,30388279.0
2026-01-21,23.47,23.7897,23.47,23.5,40672133.0
2026-01-20,23.37,23.6,23.275,23.45,51203046.0
2026-01-16,23.66,23.66,23.39,23.49,46504807.0
2026-01-15,23.61,23.8,23.5,23.73,35919466.0
2026-01-14,23.33,23.72,23.33,23.61,51414807.0
2026-01-13,23.69,23.75,23.19,23.3,40890589.0
2026-01-12,23.76,23.9,23.62,23.74,40700094.0
2026-01-09,24.15,24.32,23.98,23.99,30811009.0
2026-01-08,23.99,24.32,23.98,24.17,43770370.0
2026-01-07,24.44,24.545,23.9,23.97,46998351.0
2026-01-06,24.515,24.53,23.87,24.34,59966249.0
2026-01-05,24.405,24.75,24.37,24.71,48958067.0
2026-01-02,24.79,24.81,24.5,24.56,28718402.0
2025-12-31,24.79,24.97,24.78,24.84,22911042.0
2025-12-30,24.77,24.86,24.73,24.81,21047878.0
2025-12-29,24.68,24.94,24.678,24.77,30322137.0
2025-12-26,24.61,24.765,24.59,24.65,16070065.0
2025-12-24,24.37,24.71,24.37,24.66,13904064.0
2025-12-23,24.275,24.53,24.26,24.46,20869077.0
