date,1. open,2. high,3. low,4. close,5. volume
2026-04-27,307.51,310.815,306.06,309.65,6249702.0
2026-04-24,307.1,309.98,304.5,309.42,5616898.0
2026-04-23,310.495,312.2,305.01,308.88,7274986.0
2026-04-22,311.01,311.36,308.06,311.29,5666602.0
2026-04-21,314.01,316.89,308.82,309.94,6806871.0
2026-04-20,316.4,317.5486,312.35,313.94,5506825.0
2026-04-17,316.6,319.44,315.18,317.02,8082341.0
2026-04-16,316.35,318.0,314.57,315.1,5695849.0
2026-04-15,313.0,316.73,311.52,315.91,4831444.0
2026-04-14,308.47,312.12,307.49,311.37,5571023.0
2026-04-13,303.93,309.75,302.34,309.39,6787248.0
2026-04-10,308.71,309.0,303.51,304.36,5190038.0
2026-04-09,308.0,309.58,303.59,308.29,4811480.0
2026-04-08,307.73,311.08,307.7,308.96,6879288.0
2026-04-07,302.44,304.981,301.12,302.55,4413857.0
2026-04-06,300.74,304.42,299.46,303.33,5501001.0
2026-04-02,297.8,302.4699,295.85,300.8,4376048.0
2026-04-01,305.05,305.05,293.89,298.51,7707556.0
2026-03-31,301.6,303.34,296.585,302.24,10246903.0
2026-03-30,298.73,300.68,295.89,299.54,9330319.0
2026-03-27,304.32,304.59,294.32,295.52,9974411.0
2026-03-26,304.16,307.87,303.0,305.53,7652673.0
2026-03-25,305.48,308.49,302.17,304.91,6280873.0
2026-03-24,302.0,306.035,300.62,303.76,5375944.0
2026-03-23,305.2,307.85,302.85,304.44,7824542.0
2026-03-20,299.85,302.92,299.0101,301.62,14398132.0
2026-03-19,298.04,302.465,297.0322,299.71,6826379.0
2026-03-18,307.41,307.935,298.5,299.02,7191684.0
2026-03-17,311.32,312.69,307.38,308.46,6872151.0
2026-03-16,307.85,311.13,307.38,310.11,6401225.0
2026-03-13,307.59,310.35,306.4201,307.14,4814144.0
2026-03-12,308.14,310.95,306.019,306.5,7514907.0
2026-03-11,313.25,315.08,308.39,308.96,6385139.0
2026-03-10,315.43,317.13,311.45,314.43,5271347.0
2026-03-09,313.46,316.4,310.15,315.97,8381514.0
2026-03-06,316.045,317.69,312.3,317.36,6439709.0
2026-03-05,319.33,322.8,314.77,319.8,8276075.0
2026-03-04,321.44,325.77,319.8,320.47,5257934.0
2026-03-03,315.805,322.04,314.35,320.83,5474282.0
2026-03-02,315.5,322.6,314.595,320.51,6674915.0
2026-02-27,314.46,320.23,311.95,320.14,12412885.0
2026-02-26,314.48,319.42,313.94,316.7,8725506.0
2026-02-25,308.55,313.94,308.25,312.99,7624212.0
2026-02-24,305.5,309.265,303.08,307.22,9120236.0
2026-02-23,319.04,320.515,304.705,306.52,13047966.0
2026-02-20,318.11,322.35,317.82,320.95,6831437.0
2026-02-19,317.49,320.2,315.73,318.93,5967559.0
2026-02-18,319.5,322.28,316.72,320.3,7092280.0
2026-02-17,314.41,321.38,314.41,319.5,8591680.0
2026-02-13,323.83,326.475,312.82,314.08,11653917.0
2026-02-12,328.89,332.24,324.0,324.18,9392613.0
2026-02-11,326.92,331.038,326.42,329.24,8264294.0
2026-02-10,324.71,329.88,324.55,328.17,5801843.0
2026-02-09,330.76,332.82,323.62,325.58,8513414.0
2026-02-06,331.78,335.125,327.1,331.58,7798819.0
2026-02-05,333.0,337.59,328.82,329.13,8339033.0
2026-02-04,327.11,331.31,324.415,329.95,8472261.0
2026-02-03,331.65,335.79,328.87,328.93,9072789.0
2026-02-02,324.83,334.69,324.105,333.84,8502426.0
2026-01-30,332.22,333.0,321.6,321.83,11199090.0
2026-01-29,330.0,333.36,323.51,331.8,10214234.0
2026-01-28,326.73,328.39,324.88,326.98,8105960.0
2026-01-27,328.475,328.93,324.91,325.26,6181006.0
2026-01-26,328.0,332.0,325.03,328.49,7540150.0
2026-01-23,325.86,327.8,324.62,326.18,5667908.0
2026-01-22,326.46,328.39,324.0,326.36,6938702.0
2026-01-21,326.43,328.67,323.0,325.28,8974643.0
2026-01-20,322.225,328.32,321.56,325.82,8269632.0
2026-01-16,326.78,329.25,325.4,328.3,8341619.0
2026-01-15,329.33,331.69,326.37,327.75,8587654.0
2026-01-14,328.66,329.9,323.94,329.17,9388417.0
2026-01-13,337.0,337.52,323.83,327.88,20383504.0
2026-01-12,342.78,346.51,337.32,343.2,13281280.0
2026-01-09,352.16,354.6966,349.155,349.77,4903262.0
2026-01-08,355.0,356.35,349.5,352.23,6357646.0
2026-01-07,357.15,358.28,354.51,355.88,6333895.0
2026-01-06,353.68,358.62,352.0,357.56,6775412.0
2026-01-05,344.5,357.535,344.05,353.8,7592151.0
2026-01-02,349.87,350.05,343.48,346.48,5403770.0
2025-12-31,353.65,355.2,350.69,350.71,3503151.0
2025-12-30,354.0,354.87,352.66,353.62,3366487.0
2025-12-29,355.49,356.55,353.8,354.61,3989891.0
2025-12-26,355.1,356.725,353.71,355.0,2016968.0
2025-12-24,353.38,355.99,353.01,355.14,2023556.0
2025-12-23,352.0,356.38,352.0,353.38,3703221.0
2025-12-22,350.0,353.44,349.59,352.09,5043517.0
2025-12-19,346.05,349.91,346.05,349.25,18623948.0
2025-12-18,345.17,347.53,344.27,346.01,6805017.0
2025-12-17,345.55,347.79,343.68,344.41,7263538.0
2025-12-16,346.0,347.62,343.72,345.11,7269268.0
2025-12-15,347.83,348.45,343.83,346.89,7004647.0
2025-12-12,348.0,349.84,345.97,347.83,6942265.0
2025-12-11,332.6,347.32,330.06,345.63,12953584.0
2025-12-10,326.64,328.76,325.3,325.73,5467541.0
2025-12-09,326.61,328.2254,325.07,326.5,4309978.0
2025-12-08,329.88,331.34,324.71,326.84,5998580.0
2025-12-05,326.83,334.11,326.3972,331.24,5266948.0
2025-12-04,331.28,332.38,324.28,327.1,6277498.0
2025-12-03,329.61,332.35,329.35,329.61,6296657.0
2025-12-02,331.45,332.7999,327.21,329.62,8201871.0
