date,1. open,2. high,3. low,4. close,5. volume
2026-04-28,91.27,92.37,90.29,91.14,3052601.0
2026-04-27,91.08,92.0,89.7125,90.83,3885360.0
2026-04-24,90.51,93.2099,89.545,92.03,4255189.0
2026-04-23,90.24,90.6,87.19,90.01,3810938.0
2026-04-22,92.7,93.51,89.5,91.92,3490840.0
2026-04-21,92.75,94.505,90.69,90.96,4838150.0
2026-04-20,89.08,90.69,88.11,90.56,3529160.0
2026-04-17,88.82,89.1,87.11,88.02,3633921.0
2026-04-16,90.0,90.5,86.0801,86.68,5060935.0
2026-04-15,83.855,89.46,83.33,89.03,6063811.0
2026-04-14,83.5,84.64,81.23,82.4,3562854.0
2026-04-13,79.86,82.88,79.24,82.8,4634649.0
2026-04-10,84.01,84.06,77.015,79.24,6056079.0
2026-04-09,83.27,84.48,81.9,84.03,4919391.0
2026-04-08,85.8,86.34,82.88,83.23,4068667.0
2026-04-07,82.89,85.29,82.83,84.02,4057396.0
2026-04-06,82.03,83.02,81.23,82.68,2718822.0
2026-04-02,80.0,82.4,79.17,82.36,2834395.0
2026-04-01,80.9,81.37,78.91,80.7,2856909.0
2026-03-31,79.05,80.595,77.985,80.39,4145220.0
2026-03-30,77.41,79.19,77.06,78.68,3713125.0
2026-03-27,78.502,79.115,77.16,77.71,3466555.0
2026-03-26,78.25,81.095,78.165,79.32,4250878.0
2026-03-25,77.0,78.55,76.03,78.11,3781461.0
2026-03-24,77.55,77.55,75.45,75.98,3780485.0
2026-03-23,77.13,78.64,76.03,77.95,3237500.0
2026-03-20,76.54,77.515,74.855,76.61,5476049.0
2026-03-19,75.67,77.07,75.35,76.74,2838950.0
2026-03-18,75.33,77.17,75.33,76.43,2671310.0
2026-03-17,75.21,77.2,74.815,75.99,2205969.0
2026-03-16,74.7,75.92,74.33,74.96,2988299.0
2026-03-13,74.94,75.66,73.63,74.1,2743048.0
2026-03-12,75.81,77.38,74.86,74.94,2932973.0
2026-03-11,76.38,77.94,74.9,76.05,3513132.0
2026-03-10,78.24,78.24,74.82,76.38,3364087.0
2026-03-09,76.34,77.63,75.8019,77.06,3374390.0
2026-03-06,76.47,77.78,75.88,77.5,4475286.0
2026-03-05,77.71,79.38,77.0,77.33,5586128.0
2026-03-04,73.5,78.45,73.5,78.02,7805088.0
2026-03-03,70.89,74.66,70.7,73.5,4513665.0
2026-03-02,72.51,74.24,71.74,72.72,5796943.0
2026-02-27,73.975,75.115,72.69,73.94,7572131.0
2026-02-26,79.0,80.25,72.93,75.54,16824703.0
2026-02-25,86.785,87.275,84.5,85.43,6915073.0
2026-02-24,86.0,90.54,85.9,87.51,4186384.0
2026-02-23,89.495,89.495,82.79,86.06,6187491.0
2026-02-20,90.44,93.07,89.63,90.29,3061406.0
2026-02-19,91.49,92.67,90.5,90.96,2938076.0
2026-02-18,88.82,91.54,88.02,91.12,3061557.0
2026-02-17,91.74,93.21,88.17,88.65,2808509.0
2026-02-13,92.3,92.91,89.892,92.6,3159818.0
2026-02-12,91.725,93.608,89.44,92.24,4352155.0
2026-02-11,94.5,95.45,88.6,92.15,4822237.0
2026-02-10,95.57,96.52,94.43,94.99,3652384.0
2026-02-09,91.56,95.5,90.5,95.39,3782736.0
2026-02-06,89.86,92.28,88.1001,92.2,3764161.0
2026-02-05,93.3,93.64,88.73,89.08,5538530.0
2026-02-04,87.95,92.075,87.192,90.83,5611948.0
2026-02-03,92.375,93.5322,87.9,88.73,4896433.0
2026-02-02,91.69,94.29,90.29,92.865,4326245.0
2026-01-30,91.66,94.0,91.175,92.1,3434751.0
2026-01-29,94.5,95.15,89.73,92.58,4077296.0
2026-01-28,94.94,97.58,94.0,96.22,4482606.0
2026-01-27,96.75,97.24,93.2,94.44,5670488.0
2026-01-26,86.66,95.83,86.405,95.46,10339545.0
2026-01-23,84.595,85.94,84.41,85.78,2652993.0
2026-01-22,82.0,84.92,81.74,84.65,3900975.0
2026-01-21,81.38,82.17,80.0,81.18,2979596.0
2026-01-20,80.0,81.36,79.77,81.32,2357725.0
2026-01-16,81.66,82.195,80.58,80.96,2375617.0
2026-01-15,82.56,83.1164,81.45,81.52,2354919.0
2026-01-14,83.13,84.64,82.725,82.76,2213477.0
2026-01-13,86.65,87.02,82.5,83.19,3368405.0
2026-01-12,87.25,87.92,85.64,86.75,2466085.0
2026-01-09,85.79,87.12,84.95,85.18,1926425.0
