Symbol,AAPL
AssetType,Common Stock
Name,Apple Inc
Description,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook."
CIK,320193
Exchange,NASDAQ
Currency,USD
Country,USA
Sector,TECHNOLOGY
Industry,CONSUMER ELECTRONICS
Address,"ONE APPLE PARK WAY, CUPERTINO, CA, UNITED STATES, 95014"
OfficialSite,https://www.apple.com
FiscalYearEnd,September
LatestQuarter,2026-03-31
MarketCapitalization,4109006275000
EBITDA,159975997000
PERatio,33.92
PEGRatio,2.519
BookValue,6.0
DividendPerShare,0.52
DividendYield,0.0019
EPS,8.26
RevenuePerShareTTM,30.53
ProfitMargin,0.272
OperatingMarginTTM,0.323
ReturnOnAssetsTTM,0.262
ReturnOnEquityTTM,1.415
RevenueTTM,451442016000
GrossProfitTTM,216070996000
DilutedEPSTTM,8.26
QuarterlyEarningsGrowthYOY,0.218
QuarterlyRevenueGrowthYOY,0.166
AnalystTargetPrice,301.36
AnalystRatingStrongBuy,7
AnalystRatingBuy,25
AnalystRatingHold,14
AnalystRatingSell,1
AnalystRatingStrongSell,1
TrailingPE,33.92
ForwardPE,32.79
PriceToSalesRatioTTM,9.1
PriceToBookRatio,38.59
EVToRevenue,9.14
EVToEBITDA,25.79
Beta,1.109
52WeekHigh,288.35
52WeekLow,192.41
50DayMovingAverage,261.22
200DayMovingAverage,255.18
SharesOutstanding,14667688000
SharesFloat,14642606000
PercentInsiders,1.642
PercentInstitutions,65.318
DividendDate,2026-02-12
ExDividendDate,2026-05-11
