Symbol,GOOG
AssetType,Common Stock
Name,Alphabet Inc Class C
Description,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies."
CIK,1652044
Exchange,NASDAQ
Currency,USD
Country,USA
Sector,COMMUNICATION SERVICES
Industry,INTERNET CONTENT & INFORMATION
Address,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043"
OfficialSite,https://abc.xyz
FiscalYearEnd,December
LatestQuarter,2026-03-31
MarketCapitalization,4560616161000
EBITDA,161315996000
PERatio,28.74
PEGRatio,1.515
BookValue,39.51
DividendPerShare,0.84
DividendYield,0.0022
EPS,13.1
RevenuePerShareTTM,34.93
ProfitMargin,0.379
OperatingMarginTTM,0.361
ReturnOnAssetsTTM,0.146
ReturnOnEquityTTM,0.389
RevenueTTM,422498009000
GrossProfitTTM,255053005000
DilutedEPSTTM,13.1
QuarterlyEarningsGrowthYOY,0.82
QuarterlyRevenueGrowthYOY,0.218
AnalystTargetPrice,414.74
AnalystRatingStrongBuy,13
AnalystRatingBuy,47
AnalystRatingHold,6
AnalystRatingSell,0
AnalystRatingStrongSell,0
TrailingPE,28.74
ForwardPE,27.25
PriceToSalesRatioTTM,11.04
PriceToBookRatio,9.74
EVToRevenue,11.01
EVToEBITDA,21.26
Beta,1.267
52WeekHigh,404.47
52WeekLow,162.96
50DayMovingAverage,345.05
200DayMovingAverage,299.66
SharesOutstanding,5456000000
SharesFloat,10813651000
PercentInsiders,6.678
PercentInstitutions,61.413
DividendDate,2026-06-15
ExDividendDate,2026-06-08
