Symbol,LLY
AssetType,Common Stock
Name,Eli Lilly and Company
Description,"Eli Lilly and Company is an American pharmaceutical company headquartered in Indianapolis, Indiana, with offices in 18 countries. Its products are sold in approximately 125 countries."
CIK,59478
Exchange,NYSE
Currency,USD
Country,USA
Sector,HEALTHCARE
Industry,DRUG MANUFACTURERS - GENERAL
Address,"LILLY CORPORATE CENTER, INDIANAPOLIS, IN, UNITED STATES, 46285"
OfficialSite,https://www.lilly.com
FiscalYearEnd,December
LatestQuarter,2026-03-31
MarketCapitalization,985374196000
EBITDA,36215001000
PERatio,39.21
PEGRatio,1.452
BookValue,34.92
DividendPerShare,6.23
DividendYield,0.0055
EPS,28.18
RevenuePerShareTTM,80.61
ProfitMargin,0.35
OperatingMarginTTM,0.494
ReturnOnAssetsTTM,0.207
ReturnOnEquityTTM,1.075
RevenueTTM,72249000000
GrossProfitTTM,59845001000
DilutedEPSTTM,28.18
QuarterlyEarningsGrowthYOY,1.699
QuarterlyRevenueGrowthYOY,0.555
AnalystTargetPrice,1215.1
AnalystRatingStrongBuy,6
AnalystRatingBuy,18
AnalystRatingHold,6
AnalystRatingSell,1
AnalystRatingStrongSell,0
TrailingPE,39.21
ForwardPE,29.85
PriceToSalesRatioTTM,13.37
PriceToBookRatio,30.95
EVToRevenue,13.89
EVToEBITDA,27.72
Beta,0.481
52WeekHigh,1149.1
52WeekLow,619.4
50DayMovingAverage,954.47
200DayMovingAverage,937.44
SharesOutstanding,891741000
SharesFloat,889334000
PercentInsiders,0.156
PercentInstitutions,85.387
DividendDate,2026-06-10
ExDividendDate,2026-05-15
