Symbol,T
AssetType,Common Stock
Name,AT&T Inc
Description,"AT&T Inc. is an American multinational conglomerate holding company, Delaware-registered but headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world largest telecommunications company, and the second largest provider of mobile telephone services."
CIK,732717
Exchange,NYSE
Currency,USD
Country,USA
Sector,COMMUNICATION SERVICES
Industry,TELECOM SERVICES
Address,"208 SOUTH AKARD STREET, DALLAS, TX, UNITED STATES, 75202"
OfficialSite,https://www.att.com
FiscalYearEnd,December
LatestQuarter,2026-03-31
MarketCapitalization,181490614000
EBITDA,44411998000
PERatio,8.59
PEGRatio,1.824
BookValue,15.71
DividendPerShare,1.11
DividendYield,0.0425
EPS,3.04
RevenuePerShareTTM,17.77
ProfitMargin,0.169
OperatingMarginTTM,0.227
ReturnOnAssetsTTM,0.0412
ReturnOnEquityTTM,0.184
RevenueTTM,126527996000
GrossProfitTTM,75175002000
DilutedEPSTTM,3.04
QuarterlyEarningsGrowthYOY,-0.113
QuarterlyRevenueGrowthYOY,0.029
AnalystTargetPrice,30.37
AnalystRatingStrongBuy,4
AnalystRatingBuy,12
AnalystRatingHold,9
AnalystRatingSell,0
AnalystRatingStrongSell,0
TrailingPE,8.59
ForwardPE,11.31
PriceToSalesRatioTTM,1.434
PriceToBookRatio,1.642
EVToRevenue,2.533
EVToEBITDA,5.82
Beta,0.539
52WeekHigh,29.14
52WeekLow,22.71
50DayMovingAverage,27.48
200DayMovingAverage,26.72
SharesOutstanding,6948339000
SharesFloat,6933678000
PercentInsiders,0.086
PercentInstitutions,68.461
DividendDate,2026-05-01
ExDividendDate,2026-04-10
